cluster_id,n_members,keep_id,drop_ids,keep_n_patches,splits,cross_split,isup,gleason,image_ids
196,4,fbec0ff75cf34743b0143538e59c4641,77545268b9c0cec2fd73b7cb9e03d66b;886682be4f834c17abfcbd5137374279;ca8d1d9139e69459bfbd3fdfbd909e8e,31,train;val,True,0,negative,77545268b9c0cec2fd73b7cb9e03d66b;886682be4f834c17abfcbd5137374279;ca8d1d9139e69459bfbd3fdfbd909e8e;fbec0ff75cf34743b0143538e59c4641
197,4,b788300a50ab73f893b63ce6a9c08f9d,87c150feed1c5b7c7b4f80739cfc1060;c7a9409b4cc4821c6fb23346db4c2433;feac91652a1c5accff08217d19116f1c,214,train;val,True,1,3+3,87c150feed1c5b7c7b4f80739cfc1060;b788300a50ab73f893b63ce6a9c08f9d;c7a9409b4cc4821c6fb23346db4c2433;feac91652a1c5accff08217d19116f1c
198,4,a341bd2f51b0913bed2a23c315287002,1ae5bb38e69e00f22cb087a4d2237b43;32a9b5b85a1b52d9a9a677aef9d0b837;c2701c13451133bb51ae89e03f77e88d,196,train;val,True,3,4+3,1ae5bb38e69e00f22cb087a4d2237b43;32a9b5b85a1b52d9a9a677aef9d0b837;a341bd2f51b0913bed2a23c315287002;c2701c13451133bb51ae89e03f77e88d
199,4,27fd3bb44c76fb86e26ca77b4e92f7a0,6b47d60ee262e38e5bf082837c3ca24d;6bb4cd81976d643a0fdb67c50636d01c;f2d4965abc424e27c5d482ac0155ffd1,193,train,False,5,4+5,27fd3bb44c76fb86e26ca77b4e92f7a0;6b47d60ee262e38e5bf082837c3ca24d;6bb4cd81976d643a0fdb67c50636d01c;f2d4965abc424e27c5d482ac0155ffd1
200,4,50467a6acf3c242827713dc6dd1b5836,55321af8983669e2145d69e518fbc54c;9b238129762edd83f472e5b3abf9e639;f02b9020d7bc40972be3d30d13b745c4,160,train,False,4,3+5,50467a6acf3c242827713dc6dd1b5836;55321af8983669e2145d69e518fbc54c;9b238129762edd83f472e5b3abf9e639;f02b9020d7bc40972be3d30d13b745c4
201,4,34159ad757c19c1bded93e4505dc2903,2d1ab39f0ff6e7285467da5c26750d20;7db49c48802f5608f38c993982b1dcec;9a0fc7a2679d20d5c7bab1f220316e58,159,train,False,4,4+4,2d1ab39f0ff6e7285467da5c26750d20;34159ad757c19c1bded93e4505dc2903;7db49c48802f5608f38c993982b1dcec;9a0fc7a2679d20d5c7bab1f220316e58
202,4,725f6e74ba6aed08098c779047a19559,4ec6654ea6a3bb662c245cb0e45e6f6b;8546b73cb1496ba85aed909ee151290b;f13cd8ec6e6fde523a0a065b62086d3c,142,train,False,2,3+4,4ec6654ea6a3bb662c245cb0e45e6f6b;725f6e74ba6aed08098c779047a19559;8546b73cb1496ba85aed909ee151290b;f13cd8ec6e6fde523a0a065b62086d3c
203,4,f6ffc86aa0c22f0f0e6bb3b5c3dd79e9,644c556ebc3fc0c4345e328f8523308c;9b7a3bed1f74654040a37290572015c5;d61cca1e607df1b865e3975a5b2d74da,139,train;val,True,0,negative,644c556ebc3fc0c4345e328f8523308c;9b7a3bed1f74654040a37290572015c5;d61cca1e607df1b865e3975a5b2d74da;f6ffc86aa0c22f0f0e6bb3b5c3dd79e9
204,4,492bf65046ad2ac9f710930418b15a75,05cc3233dcb5489d2333ee62339a3226;5a04db2e75874b0e5c55ee71692ea92c;d0461ccb7f1b70ee7dc3188422e246d9,170,train,False,0,negative,05cc3233dcb5489d2333ee62339a3226;492bf65046ad2ac9f710930418b15a75;5a04db2e75874b0e5c55ee71692ea92c;d0461ccb7f1b70ee7dc3188422e246d9
205,4,9878c2c100b5bad2fac735ef46a0321e,73b0a645fdadb31c74ffba963d4350bc;80705f12096390b55d4445485bae5eba;eefb2c8c791cf40c6a5ca8b131d475f4,87,test;train,True,0,negative,73b0a645fdadb31c74ffba963d4350bc;80705f12096390b55d4445485bae5eba;9878c2c100b5bad2fac735ef46a0321e;eefb2c8c791cf40c6a5ca8b131d475f4
206,4,a4eca9510f704c55f2ac2cadd6bc2d6b,254fbd7f21925ba7732800213af7ed47;7d579241dab0290d2f36f36ef460a5fb;a82f9f71cde84001ecc92ccb09eccb5c,200,train;val,True,3,4+3,254fbd7f21925ba7732800213af7ed47;7d579241dab0290d2f36f36ef460a5fb;a4eca9510f704c55f2ac2cadd6bc2d6b;a82f9f71cde84001ecc92ccb09eccb5c
207,4,480dc522c58d59f6a6eb7b5351352d16,141c3b4a9a4a0411e144ddf2f642eb21;4c9cb3b8e0f18845b3911cdc31d6fa94;dca769d431e4b8b64a5c72d6a8663738,110,train,False,4,4+4,141c3b4a9a4a0411e144ddf2f642eb21;480dc522c58d59f6a6eb7b5351352d16;4c9cb3b8e0f18845b3911cdc31d6fa94;dca769d431e4b8b64a5c72d6a8663738
208,4,aa3d385635fdfe96d5194d0f0991b565,4aac539cdb139eb4549013b591084c4f;52385ac03a42f5ba4629f4c486abe591;9f94f5b3ae0b2cf5b345a46ba1a32f1b,132,test;train;val,True,0,negative,4aac539cdb139eb4549013b591084c4f;52385ac03a42f5ba4629f4c486abe591;9f94f5b3ae0b2cf5b345a46ba1a32f1b;aa3d385635fdfe96d5194d0f0991b565
209,4,c704708bcb669c0198feba47bf9f2c81,08e90c44bcfe29aa64beff429f94e291;68d28aa1831633cd996a227062f03bee;b4cf33ec7b1e290ddd47e83a454ada12,93,test;train,True,1,3+3,08e90c44bcfe29aa64beff429f94e291;68d28aa1831633cd996a227062f03bee;b4cf33ec7b1e290ddd47e83a454ada12;c704708bcb669c0198feba47bf9f2c81
210,4,9df270613df3c7eb10ec71bfc1aebde3,3d0fd9f2d0044ce12d01fd6eeeb32161;7e43dec1572c29fac7a8e6ed7905e927;ba79259f809a3397afb951e3f604bd90,197,train;val,True,3,4+3,3d0fd9f2d0044ce12d01fd6eeeb32161;7e43dec1572c29fac7a8e6ed7905e927;9df270613df3c7eb10ec71bfc1aebde3;ba79259f809a3397afb951e3f604bd90
211,4,97845cbd34d7c2f9ea7d76fa931f5412,10d3ed411fb2f2e829fd5574e76160cc;6e0dbb5af39a9b7199796dbe16fc5765;8adde008fe7f97d5bf11b602b89a6377,218,train;val,True,2,3+4,10d3ed411fb2f2e829fd5574e76160cc;6e0dbb5af39a9b7199796dbe16fc5765;8adde008fe7f97d5bf11b602b89a6377;97845cbd34d7c2f9ea7d76fa931f5412
212,4,391ffc7ec4eefb3d19575a93b7641bcc,64d89f6270efae268f99717bfbf288e8;b0ba9ace7fe4fb08dd1538d83425ec94;f41758ea4ca2fa1520cfe98a4c064e54,146,train,False,0,negative,391ffc7ec4eefb3d19575a93b7641bcc;64d89f6270efae268f99717bfbf288e8;b0ba9ace7fe4fb08dd1538d83425ec94;f41758ea4ca2fa1520cfe98a4c064e54
213,4,d04a52ee5ed0a35c5741c7276eb0a063,7d0ddf6bf84b1b3d6c8dafe1ab13c4ec;867b4fa9b0b2cc3aa0bafe948d72804a;fd545ee9fe42ed0eeb216fd4be3af3d2,123,train,False,5,4+5,7d0ddf6bf84b1b3d6c8dafe1ab13c4ec;867b4fa9b0b2cc3aa0bafe948d72804a;d04a52ee5ed0a35c5741c7276eb0a063;fd545ee9fe42ed0eeb216fd4be3af3d2
214,4,b9445f54b56479caf17cc14534d4ff79,028dc05d52d1dd336952a437f2852a0a;58b7c3ce1d0d5a2c1d9f321695d60577;b6d692b8d90c1bd9273bc36690796a8e,167,test;train;val,True,5,5+4,028dc05d52d1dd336952a437f2852a0a;58b7c3ce1d0d5a2c1d9f321695d60577;b6d692b8d90c1bd9273bc36690796a8e;b9445f54b56479caf17cc14534d4ff79
215,4,b41f0b32a816a16c397a07996a997306,42045280ad96d543a1edb099b0b05940;6dcece3682e1f8d8772be8dd3649b1ab;a1623edb50042b97567bc9662436c264,116,train,False,3,4+3,42045280ad96d543a1edb099b0b05940;6dcece3682e1f8d8772be8dd3649b1ab;a1623edb50042b97567bc9662436c264;b41f0b32a816a16c397a07996a997306
216,4,38f32b275b2bf74ee659cd5acdb14a8b,b245cf055b22a9d837cc4f5c97b63a8c;b498ef879c259999363dafe50f2b7acc;fab7172275db33a4e186e6deeb435a7b,127,train;val,True,5,5+5,38f32b275b2bf74ee659cd5acdb14a8b;b245cf055b22a9d837cc4f5c97b63a8c;b498ef879c259999363dafe50f2b7acc;fab7172275db33a4e186e6deeb435a7b
217,4,a0f29ff13fb03dd08b6aaeaf4bcac6ed,3d996f4f37fbcafa4a98f6cc8205784f;4ccf0ed8147b12fd0214ef72b3f574b9;c7bb258907e3d1c4cb536166645f7d52,105,test;train,True,0,negative,3d996f4f37fbcafa4a98f6cc8205784f;4ccf0ed8147b12fd0214ef72b3f574b9;a0f29ff13fb03dd08b6aaeaf4bcac6ed;c7bb258907e3d1c4cb536166645f7d52
218,4,a9ff261ddbae34cbbb6b5d5c0f2d1ce6,06cab87cd7a132bd8eaa30aa1ea42434;50385e37db3576fbc30b26f7258921cd;a954e34aa74d5c6646a52e605263f187,181,train,False,2,3+4,06cab87cd7a132bd8eaa30aa1ea42434;50385e37db3576fbc30b26f7258921cd;a954e34aa74d5c6646a52e605263f187;a9ff261ddbae34cbbb6b5d5c0f2d1ce6
219,4,f671b51a5aae50ac44610a380de4fdb7,05f4e9415af9fdabc19109c980daf5ad;cb1b1213d0db6f21fa337069570f296c;f80762497aaa467658859f20ca56f875,231,train,False,5,4+5,05f4e9415af9fdabc19109c980daf5ad;cb1b1213d0db6f21fa337069570f296c;f671b51a5aae50ac44610a380de4fdb7;f80762497aaa467658859f20ca56f875
220,4,76512fc338f0cdc3252fb1e4a0d7709c,4edba0c8cc0e39bac58aba99442b60a8;a3bf6f7cc8d798b1a4516f91837e4cdd;a6e3d28846a05057588ca4a6b7bbc3ee,173,test;train,True,4,4+4,4edba0c8cc0e39bac58aba99442b60a8;76512fc338f0cdc3252fb1e4a0d7709c;a3bf6f7cc8d798b1a4516f91837e4cdd;a6e3d28846a05057588ca4a6b7bbc3ee
221,4,46ba7e08ffab2db7ec66bc84b2f7efbe,1f060ebd06b1a771a40c42acf064f694;243d8c9814f5982607fd7297137bc801;8c72125b59c871657b90358f53dab131,106,train,False,3,4+3,1f060ebd06b1a771a40c42acf064f694;243d8c9814f5982607fd7297137bc801;46ba7e08ffab2db7ec66bc84b2f7efbe;8c72125b59c871657b90358f53dab131
222,4,aaee8c7e09fa4b50c160acd7e3302cfd,5de921452c721c77d8ffa775b9241542;d1df1946a0d00bdf843cbbedbe98fa4b;dbd4f6f4fee92f77e8847f704635df6a,185,train,False,5,4+5,5de921452c721c77d8ffa775b9241542;aaee8c7e09fa4b50c160acd7e3302cfd;d1df1946a0d00bdf843cbbedbe98fa4b;dbd4f6f4fee92f77e8847f704635df6a
223,4,f9c41c926032f8ec5db4c05b86dd2749,7ae412eda1a4203bb31484fdcdf0864d;aecf833bf307570b6dd2b3f8d104e9c6;cde5025e8daabf4a99d549a6d76442f3,176,train,False,4,4+4,7ae412eda1a4203bb31484fdcdf0864d;aecf833bf307570b6dd2b3f8d104e9c6;cde5025e8daabf4a99d549a6d76442f3;f9c41c926032f8ec5db4c05b86dd2749
224,4,115bd4dfe4bfd01f17f11c13eb61a77c,3ea2b7849d7ce4fccad168565e8e669e;5da72569e3908391620c3fc13b3fd821;fe309f77902a9790166ad50bbeda0eb5,113,train,False,2,3+4,115bd4dfe4bfd01f17f11c13eb61a77c;3ea2b7849d7ce4fccad168565e8e669e;5da72569e3908391620c3fc13b3fd821;fe309f77902a9790166ad50bbeda0eb5
225,4,878be7ee5bdda3b29e2417f6dc93af64,2fd7cbd01f3cecb64e915a0a62121cda;46f1c6a77e6de339e042fbb6334ae713;bd9022853225c1e8a46bc9eca27533f0,75,train,False,0,negative,2fd7cbd01f3cecb64e915a0a62121cda;46f1c6a77e6de339e042fbb6334ae713;878be7ee5bdda3b29e2417f6dc93af64;bd9022853225c1e8a46bc9eca27533f0
226,4,511a33b7aeb1153407ed2d55cae001c8,043489a629f6bdec1d08515a6daabb78;08347bf830e78903e36a81168c4342f9;f1a748bf771215ce5a166846e8d9af79,118,train;val,True,1,3+3,043489a629f6bdec1d08515a6daabb78;08347bf830e78903e36a81168c4342f9;511a33b7aeb1153407ed2d55cae001c8;f1a748bf771215ce5a166846e8d9af79
227,4,ad9edb9b14bbf3ae9abd4f861c5462c7,20ec7cf1e184baab03dad85a1a601532;c7579439b6073eed35a3df5a541b3949;e90abe191f61b6fed6d6781c8305fe4b,103,test;train,True,4,4+4,20ec7cf1e184baab03dad85a1a601532;ad9edb9b14bbf3ae9abd4f861c5462c7;c7579439b6073eed35a3df5a541b3949;e90abe191f61b6fed6d6781c8305fe4b
228,4,b74de57b5c614e1a1bbd5475c5fdff3a,58accdf477bd85e51be2e67c291b0896;87667e72b7fa0491a09fc9555894bfbe;d40af49780ea57bf40bd6248938a832e,184,test;train,True,0,negative,58accdf477bd85e51be2e67c291b0896;87667e72b7fa0491a09fc9555894bfbe;b74de57b5c614e1a1bbd5475c5fdff3a;d40af49780ea57bf40bd6248938a832e
229,4,205afeef1c18c6455b3a99703cdfb8df,5b63be15731e9414734353fa1b91adb4;846ffdd927cf1a58e0c5a2507e83d85f;bd044fc0a6c80e3f94bdbefb3d36cdff,165,test;train,True,2,3+4,205afeef1c18c6455b3a99703cdfb8df;5b63be15731e9414734353fa1b91adb4;846ffdd927cf1a58e0c5a2507e83d85f;bd044fc0a6c80e3f94bdbefb3d36cdff
230,4,0fee48bfc0a56f57a07134f30f54ca49,214461bdbd0837e1188244d0cad99460;6a8d4ffb2841130c1817f5650b52d4cd;b13de5e3add05a187e393d0eef314891,182,train,False,3,4+3,0fee48bfc0a56f57a07134f30f54ca49;214461bdbd0837e1188244d0cad99460;6a8d4ffb2841130c1817f5650b52d4cd;b13de5e3add05a187e393d0eef314891
231,4,05b09773ad1b34275f0b5adee3c650ab,294017fb97e4fec299eb8e83fd2d3be2;9a22abb1da9fc91bb8ae7b91bfe1451e;9f572190657b6219d9757d886e328690,165,train,False,3,4+3,05b09773ad1b34275f0b5adee3c650ab;294017fb97e4fec299eb8e83fd2d3be2;9a22abb1da9fc91bb8ae7b91bfe1451e;9f572190657b6219d9757d886e328690
232,4,8e45b3d90a0b2ff168f2851d2b0efad7,3a182bad75cc603d81f6b423849fc6a4;3ed6a37e2e5a9a48ebfe9a8f6e2f1a39;59ef609e7ecd81d89e8d8cb3efd73646,210,test;train;val,True,5,5+4,3a182bad75cc603d81f6b423849fc6a4;3ed6a37e2e5a9a48ebfe9a8f6e2f1a39;59ef609e7ecd81d89e8d8cb3efd73646;8e45b3d90a0b2ff168f2851d2b0efad7
233,4,275d8bdfde4df9a23274d06788c7ec38,4ada62a4e80e0cc01ceac327b2f5c57f;9e1d450a04253ab097601c9934fb5e6a;e920b4b7fadf9463723ecd4e5755c485,144,train;val,True,0,negative,275d8bdfde4df9a23274d06788c7ec38;4ada62a4e80e0cc01ceac327b2f5c57f;9e1d450a04253ab097601c9934fb5e6a;e920b4b7fadf9463723ecd4e5755c485
234,4,f2d2bf5ba62bbc2dcd973520a6953f57,037f29b7d62479c7fb257903f401269a;85b43e64b68fce39237fcfaf32d5a7d7;fdb9d38ce2b5a1d31bb030cd2d3a03b9,133,train;val,True,0,negative,037f29b7d62479c7fb257903f401269a;85b43e64b68fce39237fcfaf32d5a7d7;f2d2bf5ba62bbc2dcd973520a6953f57;fdb9d38ce2b5a1d31bb030cd2d3a03b9
235,4,9c37e4cad0a3fd8edae320d73c314e8c,0c88d7c7033e2048b1068e208b105270;42c0d2324381e596483e201577d0d9b0;e0dbde719b3f28fa7ef3e429b44c6d41,200,test;train,True,4,4+4,0c88d7c7033e2048b1068e208b105270;42c0d2324381e596483e201577d0d9b0;9c37e4cad0a3fd8edae320d73c314e8c;e0dbde719b3f28fa7ef3e429b44c6d41
236,4,c2296406fa9de6a029e798d89a1c8734,28d2e92f40bdd98d7cd5275fa448fe2d;549f87924e4800a7112f6edd5c250ebe;9335fbc722c3feb51e73c142238a0751,54,train,False,0,negative,28d2e92f40bdd98d7cd5275fa448fe2d;549f87924e4800a7112f6edd5c250ebe;9335fbc722c3feb51e73c142238a0751;c2296406fa9de6a029e798d89a1c8734
237,4,8b8338194dd8175d057bdc068ba44945,5d04a3fbf6bc76e526f4d1c3d763229f;69f32b20f51e4166809a29e594764865;f5bed5601a8e1f32043ff77755d957d0,69,train,False,0,negative,5d04a3fbf6bc76e526f4d1c3d763229f;69f32b20f51e4166809a29e594764865;8b8338194dd8175d057bdc068ba44945;f5bed5601a8e1f32043ff77755d957d0
238,4,441265c6b4598e9bcd10bc10eb6293cc,7a1b601b146af835cef2bc71ea599c65;b77a9076b560f05dec87198633e8e00b;ccc369b1011a0bf8ab0d11b2ac495bc8,147,test;train,True,3,4+3,441265c6b4598e9bcd10bc10eb6293cc;7a1b601b146af835cef2bc71ea599c65;b77a9076b560f05dec87198633e8e00b;ccc369b1011a0bf8ab0d11b2ac495bc8
239,4,66557aa92abab5f0eaa6a7c03d17bff1,0d495f9f23cac774653c41214c574425;28fe202d59a8ebbac9bb63ea093236d8;f746e9703e48b20b6c64c1b9dce29d8a,165,train,False,0,negative,0d495f9f23cac774653c41214c574425;28fe202d59a8ebbac9bb63ea093236d8;66557aa92abab5f0eaa6a7c03d17bff1;f746e9703e48b20b6c64c1b9dce29d8a
240,4,954c4fc8d1287b99baa0d4937ecd0ac2,3bb8426f5536b507843d3c99ab0a5e8e;3c659b2837afab3af6b952fcbaa6a515;6226ebfc1f9b743a8b02db4eb7145738,159,train,False,2,3+4,3bb8426f5536b507843d3c99ab0a5e8e;3c659b2837afab3af6b952fcbaa6a515;6226ebfc1f9b743a8b02db4eb7145738;954c4fc8d1287b99baa0d4937ecd0ac2
241,4,3d4cd7d76ac3fd28bcb64af6e7a4ad9e,4a445aac57bd6e284f3ea4bd3ee9198f;59afbd8eceb90a30ccfb99eb039fa5eb;da8a2cc5804ba27b9767059bb1a99e42,139,test;train,True,3,4+3,3d4cd7d76ac3fd28bcb64af6e7a4ad9e;4a445aac57bd6e284f3ea4bd3ee9198f;59afbd8eceb90a30ccfb99eb039fa5eb;da8a2cc5804ba27b9767059bb1a99e42
242,4,0efdb66c93d6b474d93dfe41e40be6ca,0bd231c85b2695e2cf021299e67a6afc;3112c494c644128c2a0f7fbc1e9a23f1;977d38c17c1f872ed1c550c52e984986,25,test;train,True,5,5+5,0bd231c85b2695e2cf021299e67a6afc;0efdb66c93d6b474d93dfe41e40be6ca;3112c494c644128c2a0f7fbc1e9a23f1;977d38c17c1f872ed1c550c52e984986
243,4,8a31a42bb904f022190f57733ccef19c,00928370e2dfeb8a507667ef1d4efcbb;184ade4deb68e6299183b68f1289ca5b;dbea7c288aa2fe12ecb79d7138ad5896,233,train,False,5,4+5,00928370e2dfeb8a507667ef1d4efcbb;184ade4deb68e6299183b68f1289ca5b;8a31a42bb904f022190f57733ccef19c;dbea7c288aa2fe12ecb79d7138ad5896
244,4,9d53a24212ba6cb0107e681d9e39a9cc,6cff031b8d7dd8c2cf34364ad1ee6c1a;c62d1ee20abb4c019758656681c0b4d9;eea7a758b49d5765cc9a8fe2ed6599fc,137,train,False,2,3+4,6cff031b8d7dd8c2cf34364ad1ee6c1a;9d53a24212ba6cb0107e681d9e39a9cc;c62d1ee20abb4c019758656681c0b4d9;eea7a758b49d5765cc9a8fe2ed6599fc
245,4,bb96341b3835968d02a0d02ff4def303,6ddb61c8bad32ffc60da3a6c96e85b49;c176d5630828984c57bf0c94751145a8;d6f1c51db42f3d11c7001141d7b417a7,144,test;train,True,0,negative,6ddb61c8bad32ffc60da3a6c96e85b49;bb96341b3835968d02a0d02ff4def303;c176d5630828984c57bf0c94751145a8;d6f1c51db42f3d11c7001141d7b417a7
246,4,4b9636cb1e3f5012072099379e9af72e,17ae9e54799a59930cca9015e503ac07;1d435035f56a641e0fa2c9eea34bd8f2;fe89be6f6d97552f6b2f921c621f6dcb,137,test;train,True,0,negative,17ae9e54799a59930cca9015e503ac07;1d435035f56a641e0fa2c9eea34bd8f2;4b9636cb1e3f5012072099379e9af72e;fe89be6f6d97552f6b2f921c621f6dcb
247,4,c47cd88262e0b75801a3aa1bc96aba0a,0ec5bf6cbb0a9195b4db46173203a848;4c72ab6a23ced34d785ea2e413239639;c37af9634aac2e27a80dbc6f115f583c,128,train,False,2,3+4,0ec5bf6cbb0a9195b4db46173203a848;4c72ab6a23ced34d785ea2e413239639;c37af9634aac2e27a80dbc6f115f583c;c47cd88262e0b75801a3aa1bc96aba0a
248,4,b0ee38976e71dfbfba705974713ee612,53a0d392e204cdbaa181fe636dd62600;7adbbe8f689e5d5c0593855b056f7019;ae63763dc4f4fad673ec942dfe1c0ea9,151,train;val,True,3,4+3,53a0d392e204cdbaa181fe636dd62600;7adbbe8f689e5d5c0593855b056f7019;ae63763dc4f4fad673ec942dfe1c0ea9;b0ee38976e71dfbfba705974713ee612
249,4,4035885f764d0e277b0a7f058711c6ba,0cc2bae4e8f80349576daadd44897024;48176351db9eb0d9066ac09610039e6d;6523c91279b338c2527c4fb6c80ab542,164,train;val,True,0,negative,0cc2bae4e8f80349576daadd44897024;4035885f764d0e277b0a7f058711c6ba;48176351db9eb0d9066ac09610039e6d;6523c91279b338c2527c4fb6c80ab542
250,4,677998d30fbf0b08e100dc31f2fcc0ee,1c63335d177c12cab2b3baa2ccf4c328;3e1160cd1ee5bb7c72a9ab1b5837eba2;749bbeaeb604f1b95ef49b17f9ffa417,188,train,False,3,4+3,1c63335d177c12cab2b3baa2ccf4c328;3e1160cd1ee5bb7c72a9ab1b5837eba2;677998d30fbf0b08e100dc31f2fcc0ee;749bbeaeb604f1b95ef49b17f9ffa417
251,4,4fce030094773bdf132fd81c5febce40,814e03e0dabe52a24961a88e331c43f7;f9b0585f3bed42786c6c9fc199e59dc8;fd2ad62fe51a4ab6f4786f116d7e5eaa,165,train,False,3,4+3,4fce030094773bdf132fd81c5febce40;814e03e0dabe52a24961a88e331c43f7;f9b0585f3bed42786c6c9fc199e59dc8;fd2ad62fe51a4ab6f4786f116d7e5eaa
252,4,149fd3c5d3ede543589633ea0e711c24,2f711ff54c15f3d9d627cb5e98b278fb;b0de7c7d835587ccfe43edd3eb647817;dfb94f6d16ff40e04681be2c2fde7fcd,123,test;train,True,1,3+3,149fd3c5d3ede543589633ea0e711c24;2f711ff54c15f3d9d627cb5e98b278fb;b0de7c7d835587ccfe43edd3eb647817;dfb94f6d16ff40e04681be2c2fde7fcd
253,4,232539a9ca7dcc82d7a5577e394305f3,1955abe61aaf0edc0a62aed6d25f00e5;90b662751c94e02232830cc4b5d2db16;f17470445cda06cb72f8c016bfcd4e79,185,train,False,4,4+4,1955abe61aaf0edc0a62aed6d25f00e5;232539a9ca7dcc82d7a5577e394305f3;90b662751c94e02232830cc4b5d2db16;f17470445cda06cb72f8c016bfcd4e79
254,4,9fa83904c27e09a6403eeb8dffe0b292,283624a201d08d9abc72c51af1da7923;3ee71993acdc2ab83790ea25fafe319d;c00150f4dde0bf6e3c62c57c33d77731,211,test;train,True,1,3+3,283624a201d08d9abc72c51af1da7923;3ee71993acdc2ab83790ea25fafe319d;9fa83904c27e09a6403eeb8dffe0b292;c00150f4dde0bf6e3c62c57c33d77731
255,4,3531763820dc825219b9d6283721a959,49a0c86e2a3844bf8173990d5a5ad279;79f2a04c4e2d558d425dc137ca300e14;96c62d8799651597247be49bf790d585,162,test;train,True,0,negative,3531763820dc825219b9d6283721a959;49a0c86e2a3844bf8173990d5a5ad279;79f2a04c4e2d558d425dc137ca300e14;96c62d8799651597247be49bf790d585
256,4,366cff575902d8a3e43cf0634e05d96c,04e31b936f51091d43cb805a30084533;591a3db736f25c66b1261f01615e599b;8b45517c6411802b7f978e32cf741a33,180,test;train;val,True,4,4+4,04e31b936f51091d43cb805a30084533;366cff575902d8a3e43cf0634e05d96c;591a3db736f25c66b1261f01615e599b;8b45517c6411802b7f978e32cf741a33
257,4,76d4adfe37540b9f618888092c2bc162,8679a305ae1cb7b2ed35c30529650e47;90ca0914d80d3877bb710d95ab9de2be;ebb6a080d72e09f6481721ef9f88c472,203,train;val,True,2,3+4,76d4adfe37540b9f618888092c2bc162;8679a305ae1cb7b2ed35c30529650e47;90ca0914d80d3877bb710d95ab9de2be;ebb6a080d72e09f6481721ef9f88c472
258,4,7bb9269813e03e9e784a87f3a2486f04,00c46b336b5b06423fcdec1b4d5bee06;0dccbb58add854759951038d5ee736ab;62bfdd9e66e2cfee7f6e69c7d22b11f2,172,train,False,1,3+3,00c46b336b5b06423fcdec1b4d5bee06;0dccbb58add854759951038d5ee736ab;62bfdd9e66e2cfee7f6e69c7d22b11f2;7bb9269813e03e9e784a87f3a2486f04
259,4,a9752cd05aa514a3102e9d8f0edeb8f7,4e95048eb0c0413e5fc648b1447cf651;a08c211e99f5213d2c8e93e39b02cd8f;c64dd4f75e74ee4c23f27a8d99a3ed19,134,test;train,True,3,4+3,4e95048eb0c0413e5fc648b1447cf651;a08c211e99f5213d2c8e93e39b02cd8f;a9752cd05aa514a3102e9d8f0edeb8f7;c64dd4f75e74ee4c23f27a8d99a3ed19
260,4,177832eff75d0ffb22520e6c8a052e6f,6c8b94e99dbb1f65b73e1e8e32469689;ee83e1603d89100f6546368fe275aaa5;fb5fd7ab15e699998a30b36fe169431b,108,train,False,3,4+3,177832eff75d0ffb22520e6c8a052e6f;6c8b94e99dbb1f65b73e1e8e32469689;ee83e1603d89100f6546368fe275aaa5;fb5fd7ab15e699998a30b36fe169431b
261,4,0fb3565c36d9c379d64120b4367a83da,35b2e442142f53c58e83e1a0f0636472;8dbedd97ed2b7b01525d6800d52ae073;a0e3ae771cc087ecfd5251a95043f1f0,182,test;train,True,3,4+3,0fb3565c36d9c379d64120b4367a83da;35b2e442142f53c58e83e1a0f0636472;8dbedd97ed2b7b01525d6800d52ae073;a0e3ae771cc087ecfd5251a95043f1f0
262,4,7b87b209b60e844a1b74a6e92edaa89b,103b9b34a5c6a68bccd320b924513711;25c0f98758c3fb09bc2070d1dca0a299;da15226ed2a9ca5a83e831a9c57f5380,114,train;val,True,0,negative,103b9b34a5c6a68bccd320b924513711;25c0f98758c3fb09bc2070d1dca0a299;7b87b209b60e844a1b74a6e92edaa89b;da15226ed2a9ca5a83e831a9c57f5380
263,4,70fa73960db8729c176876aefff96562,06a7dc123ee1cd1a88b5563bb332666c;462839866ad252b9bbf2c34be653745e;ff1ca9ec7c9d1694dcacaf5176976967,174,train,False,5,4+5,06a7dc123ee1cd1a88b5563bb332666c;462839866ad252b9bbf2c34be653745e;70fa73960db8729c176876aefff96562;ff1ca9ec7c9d1694dcacaf5176976967
264,4,92d9151ac1696151907d63db1116efa1,5ed6b9a9612f58fb7a5ed2c9b9b32fe4;91b53c8308cd140ab55518b1df7a370d;e62a7175ca466fb365631d124972c0a8,218,train;val,True,3,4+3,5ed6b9a9612f58fb7a5ed2c9b9b32fe4;91b53c8308cd140ab55518b1df7a370d;92d9151ac1696151907d63db1116efa1;e62a7175ca466fb365631d124972c0a8
265,4,fd3b376d8b119c3a43e93e57710616fd,27a0805c02fc2d0fa9baff39ab5f36d6;3aeefd7ef9247470d465682c556c0c61;f33ee63b980e520ee01b85dc9edb8fa4,180,train,False,0,negative,27a0805c02fc2d0fa9baff39ab5f36d6;3aeefd7ef9247470d465682c556c0c61;f33ee63b980e520ee01b85dc9edb8fa4;fd3b376d8b119c3a43e93e57710616fd
